title,price,land,building,bed,bath,floor,certificate,location
PENGINAPAN DIJUAL  Kost/Guest House/Homestay Strategis Full Furnished,Rp 2.500.000.008,325,200,&gt;10,6,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah baru minimalis proses finishing di dkt puskesmas cebongan mlati,Rp 450.000.000,100,45,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
RUMAH BARU MODERN DALAM CLUSTER DI SLEMAN,Rp 350.000.000,112,45,2,1,1,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I."
Rumah minimalis siap huni belakang hotel hyatt,Rp 679.000.000,107,80,3,1,1,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah dekat RS Murangan jln magelang,Rp 699.999.999,100,60,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Baru Dalam Perumahan Green Hills Jalan Kaliurang,Rp 3.000.000.000,160,147,3,3,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Full Furnished Dalam Perumahan Green Hills Jalan Kaliurang,Rp 2.200.000.000,160,100,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Classic Dalam Perumahan di Jalan Kaliurang Dekat UII,Rp 975.000.000,150,140,3,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Dekat UGM Perum.Bale Agung Residence Bale Hinggil &amp; Casa Grande,Rp 7.999.000.000,440,400,7,6,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Bale Mulia Perumahan Dengan Kolam Renang Pribadi,Rp 9.500.000.000,527,399,5,4,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Baru Dalam Perumahan Jalan Kaliurang Dekat UII,Rp 1.204.000.000,122,105,3,3,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah baru minimalis dg kolam renang pribadi di dkt pasar cebongan,Rp 1.400.000.000,155,120,4,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
RUMAH DI SUMBERADI MLATI SLEMAN DEKAT KAMPUNG FLORY DAN PEMDA SLEMAN,Rp 675.000.000,100,70,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah baru minimalis proses finishing di dkt pasar cebongan,Rp 625.000.000,110,60,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Lux di lingkungan Eksklusif Bale Mulia,Rp 4.200.000.000,199,231,4,4,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
Dalam perumahan jln kapten Haryadi palagan sleman,Rp 895.000.000,181,80,2,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
rumah cantik &amp; kos2an dekat univ aisyiah jogja,Rp 1.300.000.000,77,150,3,2,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Jual  rumah etnix pakem,Rp 1.500.000.000,160,195,5,2,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Murah Furnish dlm Perumahan dkt Terminal Jombor &amp; UGM,Rp 2.600.000.000,145,137,3,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
3 unit rumah baru siap huni di jln godean km 10 selatan pasar godean,Rp 475.000.000,102,45,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Megah Bangunan 2 Lantai dlm Perum Barat Hotel Hyatt jl Palagan,Rp 1.845.000.000,143,105,3,2,2,,"Mlati, Sleman Kab., Yogyakarta D.I."
Dijual rumah dengan view sawah lokasi strategis di jl kabupaten,Rp 1.300.000.000,178,100,3,2,,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah dijual dalam perumahan dekat Hyatt jalan palagan,Rp 1.845.000.000,137,90,3,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
9 unit rumah baru proses bgn di jln kebon agung dkt ke pasar balangan,Rp 350.000.000,120,50,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Jual rumah dalam ring road jambon jalan kabupaten,Rp 800.000.000,148,120,3,2,,,"Mlati, Sleman Kab., Yogyakarta D.I."
"Rumah dijual, baru, desain mewah, jl. Kaliurang Km 13, timur UII",Rp 1.150.000.000,210,128,5,3,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
"Rumah Baru Dalam Cluster, Kawasan Elite Jalan Palagan Belakang Hyarta",Rp 3.000.000.000,461,400,7,5,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Kost dekat ugm jogja,Rp 3.000.000.000,119,330,10,10,3,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Kost ekslussive 3 lantai 10 kamar dekat UGM dan Monjali,Rp 3.000.000.000,168,300,10,9,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
dijual rumah mewah elegan di jalan jambon sleman yogyakarta,Rp 2.475.000.000,161,191,4,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Tingkat 2 Eksklusif dekat Kantor BKN Yogyakarta,Rp 1.490.000.016,103,110,4,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
"Rumah di Perumahan Pogung Baru dekat Pandega Marta Kampus UGM,",Rp 2.700.000.000,142,200,4,4,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
Dijual Dalam Perumahan Jalan Palagan Jongke,Rp 1.950.000.000,143,105,3,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Jual kos di pogung dekat UGM,Rp 12.000.000.000,1040,1040,5,3,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Jual  rumah etnix pakem,Rp 1.500.000.000,160,195,5,2,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah minimalis moderen tropis dijual di sleman jogja yogya yogyakarta,Rp 650.000.000,112,90,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Hunian di Perum JL Palagan Jongke Dekat Hyatt Jombor UTY JL Magelang,Rp 625.000.000,103,103,3,1,1,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah dalam perum Purwomartani,Rp 1.600.000.000,107,130,3,2,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Jual kos di pogung dekat UGM,Rp 12.000.000.000,1040,1040,5,3,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah  Bale Mulia Residence Perumahan Mewah &amp; Elite Fasilitas Lengkap,Rp 10.000.000.000,532,532,5,4,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
JUAL CEPAT RUMAH DALAM PERUMAHAN ELITE POGUNG BARU SANGAT DEKAT UGM,Rp 3.900.000.000,266,260,5,4,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Masa Kini Desain Menarik Hanya 500jt-an Ada Mini Garden,Rp 500.000.040,100,60,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah dekat UGM Yogyakarta diPerumahan Nandan Jl. Monjali,Rp 3.500.000.000,206,240,4,3,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Pondok Permai Palagan Perumahan Mewah Elite Fasum Kolam Renang,Rp 1.550.000.000,127,145,4,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
"Rumah Mewah di Palagan dekat Hyatt, Al Azhar, Monjali dan Jombor",Rp 2.100.000.000,137,137,3,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah asri di perum condong catur,Rp 775.000.000,82,140,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Modern dan Strategis di jalan Magelang dekat Lapangan Denggung,Rp 695.000.029,160,56,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
"PERUM MEWAH GRIYA ARGA PERMAI JL.GODEAN KM.4 DEKAT TUGU, MALIOBORO,SKE",Rp 2.600.000.000,251,181,4,3,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
Jual Rumah Minimalis Siap Huni Di Sleman Type 88/120,Rp 695.000.000,60,120,5,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Eksklusif 2 Lantai desain Modern Barat Jalan Magelang,Rp 985.000.013,129,73,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"Tanah Dalam Kota Jogja, Bangun Rumah Sendiri Lebih Hemat",Rp 670.000.000,81,100,3,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"FORTUNA RESIDENCE DAYAKAN, hunian Elegan di Kawasan Elit Jogja",Rp 1.656.000.000,106,130,4,4,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Kode RSH835 #Rumah Cantik Barat Perum Grand Tlogoadi Mlati Sleman Yogy,Rp 700.000.000,114,80,2,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Dijual Tanah murah Sleman,Rp 1.800.000,163,83,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"Rumah Dekat UGM, UTY, JCM",Rp 1.500.000.000,126,90,3,2,1,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
