title,price,land,building,bed,bath,floor,certificate,location
RUMAH MURAH STRATEGIS DI DEKAT KAMPUS UII JL KALIURANG SLEMAN YOGYA,585000000,178,180,3,2,1,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I."
SMART HOME DESAIN SCANDINAVIAN DI BANTUL DEKAT KIDS FUN,910000000,108,90,3,2,2,SHM - Sertifikat Hak Milik,"Banguntapan, Bantul Kab., Yogyakarta D.I."
Rumah Baru Dalam Cluster JL Kabupaten Dalam Ring Road,1468000000,101,130,3,3,2,SHM - Sertifikat Hak Milik,"Gamping, Sleman Kab., Yogyakarta D.I."
Jual Rumah lokasi Strategis,700000000,111,50,2,2,1,SHM - Sertifikat Hak Milik,"Godean, Sleman Kab., Yogyakarta D.I."
"Rumah dijual, Rumah kosan eksklusif full penghuni, dekat Kampus UGM",900000000,70,70,5,5,2,SHM - Sertifikat Hak Milik,"Gamping, Sleman Kab., Yogyakarta D.I."
Rumah Baru dan Luas Dalam Ring Road JL Kabupaten,1550000000,130,129,3,3,2,SHM - Sertifikat Hak Milik,"Gamping, Sleman Kab., Yogyakarta D.I."
"RUMAH MINIMALIS 499JUTA SIAP BANGUN DEKAT PASAR GODEAN -
SMR 276",499000000,100,60,2,1,1,SHM - Sertifikat Hak Milik,"Godean, Sleman Kab., Yogyakarta D.I."
Dijual Hunian Idaman Strategis Hanya 200 Jutaan di Kulonprogo,225000000,113,40,2,2,1,SHM - Sertifikat Hak Milik,"Pengasih, Kulon Progo Kab., Yogyakarta D.I."
"Dijual Rumah Mewah Minimalis Dekat Ringroad, Sleman Yogyakarta",472500000,75,45,2,2,2,SHM - Sertifikat Hak Milik,"Gamping, Sleman Kab., Yogyakarta D.I."
Rumah full furnished di jln Besi-Jangkang - SMR 220,696000000,130,80,3,2,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Rumah baru di Pandanaran akses jalan 5 mtr dekat UII,795000000,105,71,3,2,0,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
"Rumah Murah di Selatan Uii, Hanya 200 Juta-an",195000400,50,30,2,1,1,HGB - Hak Guna Bangun,"Ngaglik, Sleman Kab., Yogyakarta D.I."
"PERUMAHAN MODERN BARU DI JL. KALIURANG

-SMR 312",800000000,112,45,2,1,1,HGB - Hak Guna Bangun,"Ngaglik, Sleman Kab., Yogyakarta D.I."
"Rumah Termurah di Jakal, Siap Bangun 10 Unit",190002000,50,30,2,1,1,HGB - Hak Guna Bangun,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Rumah dalam perumahan elit jalan palagan km 10,1700000000,205,80,3,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Oemah Joglo 312 m2 Besi Jangkang JL Kaliurang Sukoharjo Ngaglik,799000000,112,45,2,1,1,HGB - Hak Guna Bangun,"Ngaglik, Sleman Kab., Yogyakarta D.I."
"For SALE, Rumah Mewah di Utara Jogja Bay, One Gates System",1505000000,123,180,4,3,2,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I."
Griya Perumahan Purwo Sleman Dkat JL Tajem Wedomartani Maguwoharjo,699000000,102,60,2,1,1,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I."
Rumah baru dekat UII jakal km 13 besi jangkang,775000000,135,80,3,2,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Rumah Modern Sertifikat SHM Dekat Pamela 7,553050000,107,45,2,1,0,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I."
Rumah Cantik Berkualitas Di Jalan Kaliurang Km 13 Dekat UGM,835000000,100,130,3,2,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Rumah Siap Huni Jual Cepat Di Sleman Legalitas SHM &amp; IMB Siap KPR,585000088,93,54,2,1,1,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I."
Rumah Di Jalan Pandanaran Yogyakarta Luas dan Murah,800000001,140,73,3,2,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
