title,price,land,building,bed,bath,floor,certificate,location,landprice,loc,point,lat,lon,regency
Dijual Tanah 84 m²+Rumah Siap Bangun Type 45 Rp 337 Juta di Bangunjiwo,337000904,84,45,2,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",4011915,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
Jual Rumah - Selatan Kampus UMY - Perum Padma Residen,650000000,89,45,2,2,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",7303370,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
Rumah Modern Tipe Minimalis Include Kitchen Set Area Tamantirto,480000212,84,54,3,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",5714288,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
"Tamantirto Hills, Perumahan Baru 5 Menit UMY Yogyakarta",465000000,80,54,3,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",5812500,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
Rumah Dekat Kampus UMY di Kalangan Bangunjiwo Siap Bangun,360000033,99,45,2,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",3636363,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
Rumah minimalis 2 lantai dekat desa wisata Kasongan - SMR 154,1350000000,108,168,4,3,2,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",12500000,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
Rumah mewah 2 lantai dalam Ringroad jalan Parangtritis,3500000000,350,500,4,2,2,SHM - Sertifikat Hak Milik,"Sewon, Bantul Kab., Yogyakarta D.I.",10000000,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.835594499999999, 110.3656196, 0.0)",-7.835594499999999,110.3656196,Sleman Regency
Rumah mewah dalam perum grand permata resindence,1200000000,107,130,3,2,2,SHM - Sertifikat Hak Milik,"Sewon, Bantul Kab., Yogyakarta D.I.",11214953,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.835594499999999, 110.3656196, 0.0)",-7.835594499999999,110.3656196,Sleman Regency
Dijual Rumah Tipe 45 + Tanah 93m² Rp 353 juta di Griya Jipangan Asri 2,353000308,93,45,2,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",3795702,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
SMR 243 - MINIMALIS CANTIK 300 JUTAAN DEKAT KAMPUS UMY,375000000,78,40,2,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",4807692,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
